id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,availability_365
286662,Charming Brooklyn Studio,1491538,Erika,Brooklyn,Crown Heights,40.67105972,-73.95463256,Entire home/apt,110,3,192,9/23/2018,321
286838,Private Room in Brownstone,1492339,Karin,Manhattan,Harlem,40.80747662,-73.95589358,Private room,75,2,101,10/31/2015,0
287408,Lovely Hell's Kitchen Studio...,1495090,Carey,Manhattan,Hell's Kitchen,40.76146964,-73.99151589,Entire home/apt,150,2,72,7/31/2018,0
287417,HOT SPOT FOR 20 AND 30 SOMETHING'S,1495196,Yvette,Brooklyn,Bedford-Stuyvesant,40.68174322,-73.91920667,Entire home/apt,300,2,32,2/13/2017,276
287421,"Cozy, Clean Cobble Hill Brownstone",1495141,Keow,Brooklyn,Cobble Hill,40.68537961,-74.00056174,Entire home/apt,140,3,103,8/1/2017,0
287481,Vintage/Yoga/Art Oasis Loft in Wburg,1495502,Olly,Brooklyn,Williamsburg,40.70839215,-73.94288583,Entire home/apt,120,10,63,9/14/2018,18
287814,"Big, Sunny, Modern Apartment w/VIEW",1496592,Andrew,Brooklyn,Williamsburg,40.71270515,-73.96273476,Entire home/apt,160,2,168,9/30/2018,308
287839,"Cozy, beautiful doormen studio-",1498424,Hibo,Brooklyn,Fort Greene,40.69017702,-73.98107477,Entire home/apt,175,3,15,8/31/2018,338
287845,Carroll Gardens Gem-2BD with Garden,1496847,Paul & Ewa,Brooklyn,Carroll Gardens,40.68128292,-73.99521963,Entire home/apt,275,3,94,9/13/2018,298
288043,West Village/Meat Packing Apt.,1497569,Alex,Manhattan,West Village,40.73890631,-74.00860018,Entire home/apt,155,4,43,9/25/2018,7
289020,Sunny 1BR Center of East Village!,347036,Jasmine,Manhattan,East Village,40.72947502,-73.98693697,Entire home/apt,179,8,15,8/29/2018,0
289288,Perfect East Village Apartment,1502469,Max,Manhattan,East Village,40.72506137,-73.98865465,Entire home/apt,219,5,115,8/24/2018,296
289665,Decorators 5-Star Flat West Village,1503831,Elle,Manhattan,West Village,40.72891325,-74.00293038,Entire home/apt,450,20,157,8/11/2016,0
289995,Loft Like w/Garden- Williamsburg Bedford L Stop,1505217,Pia,Brooklyn,Greenpoint,40.71946641,-73.95252153,Entire home/apt,199,30,33,2/23/2017,191
290457,Between Two Bridges 2BD -Whole Apt!,207124,Mikki & Bazi,Manhattan,Chinatown,40.71282901,-73.99702715,Entire home/apt,139,1,31,9/15/2018,220
291764,"Large Glowing Private Room, Williamsburg Bedford L",302936,Melody,Brooklyn,Williamsburg,40.72371996,-73.95694084,Private room,65,30,41,1/1/2017,279
292047,Gorgeous pvt room in West Village,1490696,Alejandra,Manhattan,West Village,40.73908037,-74.00377769,Private room,90,3,181,9/4/2018,264
292266,Sunny and spacious bedroom,1513294,Urszula,Brooklyn,Bushwick,40.69755032,-73.91187304,Private room,50,12,16,9/7/2018,47
292361,Great appartment in Manhattan,1507565,Victoria,Manhattan,Midtown,40.7527218,-73.96919849,Entire home/apt,160,4,21,9/20/2018,299
292954,Charming One Bedroom in Prospect Heights,103773,Anika,Brooklyn,Crown Heights,40.67701239,-73.96141319,Entire home/apt,120,5,49,9/3/2018,134
294227,Loft Suite @ The Box House Hotel,417504,Dana,Brooklyn,Greenpoint,40.73682674,-73.95429621,Entire home/apt,199,3,41,7/22/2018,361
294242,Loft Suite @ The Box House Hotel,417504,Dana,Brooklyn,Greenpoint,40.73889881,-73.95395101,Entire home/apt,199,3,67,9/3/2018,356
294250,Beautiful New Garden Apartment ,45682,Irina,Manhattan,Upper West Side,40.77611281,-73.97807827,Entire home/apt,150,2,81,7/31/2018,0
294259,Loft Suite @ Box House Hotel,417504,Dana,Brooklyn,Greenpoint,40.7380615,-73.95462238,Entire home/apt,199,3,54,9/16/2018,357
294263,Loft Suite @ The Box House Hotel,417504,Dana,Brooklyn,Greenpoint,40.73661234,-73.95479345,Entire home/apt,199,3,73,9/16/2018,353
294280,Loft Suite @ The Box House Hotel,417504,Dana,Brooklyn,Greenpoint,40.73856942,-73.95435292,Entire home/apt,199,3,20,9/19/2018,361
294353,Williamsburg HUGE SUNNY next2train!,430188,Pam & Alex,Brooklyn,Williamsburg,40.70685679,-73.95365288,Private room,135,3,72,9/17/2018,327
294490,Loft Suite @ Box House Hotel,417504,Dana,Brooklyn,Greenpoint,40.73856639,-73.95298834,Entire home/apt,199,3,46,8/3/2018,354
294717,Modern apartment w/ gorgeous view,1523610,Marissa,Brooklyn,Williamsburg,40.71094574,-73.95238715,Private room,125,3,17,5/20/2015,0
295998,Panoramic View Central Park & NYC,568585,Alan,Manhattan,Upper West Side,40.79090428,-73.96761899,Entire home/apt,300,3,34,9/2/2018,82
296345,E Williamsburg Apartment with Yard,496164,Todd,Brooklyn,Williamsburg,40.71143006,-73.94159034,Private room,75,2,83,9/7/2018,0
296361,Nice Private Room Beauty in Queens,1528912,Weiwei,Queens,Elmhurst,40.7370037,-73.87444321,Private room,59,1,55,9/27/2018,360
296717,"Cozy Corner, Bedford Ave  Brooklyn!",1530310,Jacques,Brooklyn,Bedford-Stuyvesant,40.68855388,-73.9540513,Private room,55,8,17,9/17/2018,246
296844,"HISTORIC WILLIAMSBURG, BKLYN #1",839679,Brady,Brooklyn,Williamsburg,40.7165252,-73.95554318,Private room,30,3,24,12/4/2013,0
297698,The Brick Boudoir (btw Barney's & Gooogle),891184,Pete,Manhattan,Chelsea,40.73970728,-74.00037965,Entire home/apt,175,120,141,10/28/2017,270
297938,Private & Cozy Modern Luxury,1535997,Jeffrey,Brooklyn,Flatbush,40.65379443,-73.96265676,Private room,100,7,59,6/10/2018,323
298782,Private single bed Room Wifi,1539749,Edward,Brooklyn,Bedford-Stuyvesant,40.68609151,-73.94741929,Private room,49,2,45,6/30/2018,285
299078,Charming 1BD in SoHo,787261,L,Manhattan,SoHo,40.725087,-74.00304339,Entire home/apt,275,3,138,9/15/2018,68
299531,Feel like you never leave your home,1220404,Tom,Brooklyn,East New York,40.66795124,-73.89231776,Entire home/apt,100,1,86,9/17/2018,348
300140,LARGE COZY GREAT FOR A FAMILY,1546306,Rose,Manhattan,Chelsea,40.75305073,-73.99925678,Entire home/apt,310,3,265,9/18/2018,232
301034,Furnished Bedroom with parking spot for your car!,1550578,Ron,Manhattan,Harlem,40.80637317,-73.95432922,Private room,140,2,30,9/27/2018,310
301372,room with very nice view in Brooklyn,1294674,Alex,Brooklyn,Fort Greene,40.68561268,-73.97611262,Private room,50,2,22,8/13/2018,0
302057,Sunny private room featured in film,1555897,Alice,Brooklyn,Flatbush,40.6438661,-73.96854556,Private room,75,2,157,7/16/2018,269
